ax,ay,az,gx,gy,gz
0.269,-0.66,-0.289,-2.293,-7.437,-0.728
0.2,-0.64,-0.327,14.073,-25.04,4.081
0.33,-0.665,-0.326,8.226,-6.551,-2.102
0.333,-0.627,-0.179,13.921,4.96,-2.636
0.368,-0.679,-0.132,-1.774,9.327,-20.209
0.419,-0.459,-0.263,-11.041,11.983,-13.155
0.265,-0.71,-0.221,11.035,33.082,16.997
0.269,-0.684,-0.197,6.486,6.151,6.173
0.327,-0.633,-0.166,1.035,7.082,29.99
0.376,-0.678,-0.053,-5.072,14.67,9.364
0.217,-0.636,-0.202,-2.018,13.998,5.348
0.356,-0.694,-0.139,2.623,7.266,-4.255
0.354,-0.553,-0.166,-8.797,-10.475,-33.339
0.351,-0.607,-0.201,-1.652,-6.46,-15.995
0.377,-0.618,-0.135,11.478,5.189,15.043
0.238,-0.738,0.137,-9.377,-18.383,12.646
0.199,-0.649,-0.536,-8.644,-4.902,-15.583
0.71,-0.209,-0.388,54.119,14.197,33.959
0.385,-0.437,-0.278,1.341,2.685,22.371
0.296,-0.615,-0.242,2.577,3.708,9.73
0.324,-0.669,-0.213,1.081,6.35,4.127
0.374,-0.627,-0.189,9.447,6.105,17.287
0.306,-0.65,-0.196,-0.4,-0.49,3.104
0.327,-0.658,-0.143,-2.827,16.166,1.303
0.262,-0.656,-0.097,-3.575,-8.414,1.242
0.285,-0.654,-0.26,-2.293,-10.154,2.722
0.282,-0.625,-0.339,15.799,-2.841,-0.835
0.378,-0.693,-0.173,6.852,-12.719,0.02
0.246,-0.669,-0.146,-9.301,-10.826,0.524
0.179,-0.673,-0.283,11.127,13.785,1.486
0.306,-0.681,-0.134,-3.789,0.105,-2.865
0.316,-0.681,-0.148,-6.339,1.586,0.448
0.265,-0.687,-0.124,1.371,6.96,3.455
0.348,-0.646,-0.267,4.44,-6.292,0.753
0.294,-0.639,-0.221,10.104,1.067,-1.003
0.327,-0.665,-0.182,-0.11,-0.597,-0.316
0.311,-0.669,-0.157,0.333,3.204,-0.102
0.331,-0.655,-0.182,4.287,1.403,2.921
0.291,-0.675,-0.275,6.043,-8.582,0.463
0.222,-0.665,-0.199,0.654,-4.063,-3.232
0.218,-0.695,-0.047,-0.293,6.044,-0.743
0.301,-0.679,-0.129,-3.484,3.128,1.654
0.304,-0.669,-0.186,-0.888,-3.544,2.86
0.29,-0.673,-0.177,7.753,-4.093,0.493
0.292,-0.723,-0.164,3.997,5.22,4.173
0.316,-0.691,-0.184,2.593,-1.513,-0.316
0.306,-0.712,-0.148,-4.278,1.815,-2.896
0.264,-0.656,-0.196,1.463,-8.17,5.013
0.264,-0.716,-0.053,-5.133,9.204,2.432
0.253,-0.679,-0.143,16.715,-10.047,-4.636
0.244,-0.688,-0.116,5.524,7.83,1.562
0.281,-0.716,-0.03,-14.98,5.25,-10.591
0.326,-0.669,-0.194,3.676,0.227,-20.667
